Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
"For millions of busy parents across the US, finding a reliable babysitter is a daunting task.  UrbanSitter is the first all-in-one solution—a hyper efficient childcare marketplace where parents meet and book sitters.  Our premise is simple, when it comes to finding a babysitter, parents just want the recommendation of a friend. We leverage a parent’s social graph in conjunction with our proprietary matching technology to provide babysitter recommendations from their trusted circle of Facebook friends, family, and parents from school. Convenience is also key for time-stricken parents, so we’ve built built a real-time booking engine and integrated online payment, so… · More parents can book a sitter at the click of the button.UrbanSitter was recently named 2014 Best Consumer Application or Service in the San Francisco Business Times Technology and Innovation Awards.",,UrbanSitter,"$200,000","May  9, 2014",Find and book a trusted sitter online,,,"$1,750,000","Jan 31, 2012","$15,000,000","Feb  1, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Enterprise Software,BDNA,"$3,400,000","Aug  2, 2011",,,,,,,,"$12,500,000","Apr 19, 2005","$20,000,000","Oct 31, 2007",Series A,GitHub_funding,,,,,,,,,,,,,,
,Technology,Luca-Technologies,"$3,000,000","Sep 22, 2006",,,,,,"$20,000,000","Oct 10, 2007","$75,900,000","Dec 23, 2008",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Conformia-Software,"$12,000,000","Oct  1, 2006",,,,,,,,"$12,300,000","May  4, 2007","$3,000,000","Jul 23, 2008",-,GitHub_funding,,,,,,,,,,,,,,
,Business Intelligence,Truviso,,,,,,"$4,800,000","Jun 24, 2015","$3,000,000","Jul 20, 2009",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Carbylan-BioSurgery,,,,,,,,"$20,000,000","Nov 26, 2007","$6,000,000","Jan  3, 2013",,,Series B,GitHub_funding,,,,,,,,,,,,,,
"A global services provider, helping companies power their business with mobile, social and cloud technology from salesforce.com, Google, Workday and CSOD",,Appirio,,,,,,"$1,100,000","Mar 13, 2008","$5,600,000","Jul 21, 2008","$10,000,000","Feb 25, 2009","$60,000,000","Mar 15, 2012",,GitHub_funding,,,,,,,,,,,,,,
,Public Transportation,Globaltranz-Logistics,,,,,,"$10,000,000","Jan 11, 2011",,,"$40,000,000","Sep  8, 2014",,,Series C,GitHub_funding,,,,,,,,,,,,,,
"Chargebee is a PCI Level 1 certified Subscription and Recurring Billing Platform for subscription based SaaS and eCommerce businesses. A flexible and customisable platform that integrates with 30+ leading payment gateways worldwide to let you automate payment collection, invoicing, email notifications and customer management - it takes the pain away from gateway lock-ins and provides the ability to transact via multiple gateways. With customers in over 48 countries, Chargebee offers the smartest solution for managing your subscription billing and provides a scalable platform for you to grow, without worrying about losing control or creating… · More administrative nightmares.With Chargebee, you can spend less time worrying about billing and more about getting customers.Our API & documentation is one of the best and our customers love it.  Here's the link for the same: https://apidocs.chargebee.com/docs/api",IaaS,Chargebee,,,Trusted billing partner for your Online Subscription Business,"$370,000","Sep 30, 2012","$800,000","Jan 13, 2014","$5,000,000","Mar 15, 2015",,,,,,GitHub_funding,,,,,,,,,,,,,,
,Franchises,Solar-Universe,,,,,,,,"$7,000,000","Jan 25, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"B5M, “help me buy” in Chinese, is the most comprehensive, accurate, and unbiased Chinese shopping search portal across multiple vertical categories. It offers hundreds of millions of business-to-consumer products, product and merchant reviews, group-buy deals, discount products, and shopping-related web articles, and it’s innovative shopping community features help Chinese consumers make informed purchasing decisions. B5M, founded in 2007, is headquartered in Shanghai with offices in Beijing and Hangzhou. The company also provides e-commerce search and recommendation engines to e-commerce sites to create a better user experience and higher conversion rates. B5M operates its… · More own advertisement network to deliver hundreds of millions of clicks daily from hundreds of premier media sites as well as B5M.com to thousands of E-commerce websites and other advertisers.",Online Rental,B5M,,,Chinese Shopping Search Portal,,,"$7,100,000","Feb 16, 2012","$16,000,000","Apr  5, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
"IntelePeer, Inc. is a leading provider to service providers and enterprises of on-demand cloud-based communications services including SIP Trunking.",Physicians,Intelepeer,"$15,000,000","Jun 10, 2013",,,,,,,,"$18,000,000","Nov 11, 2008",,,,GitHub_funding,,,,,,,,,,,,,,
,Health Care,Advanced-ICU-Care,"$500,500","Jul 16, 2010",,,,,,,,"$2,000,000","Jan  6, 2010","$8,000,000","Nov 29, 2011",Series C,GitHub_funding,,,,,,,,,,,,,,
"Mixpanel is the most advanced analytics platform ever for mobile & the web. We help our customers track product usage, measure conversion rates, and analyze user retention.Our products are powerful, beautiful, and easy to use.To learn more, check out http://mixpanel.com/learn",Marketing Automation,Mixpanel,,,The most advanced analytics platform for mobile & web.,"$1,250,000","May 27, 2011","$10,250,000","May 10, 2012","$65,000,000","Dec 18, 2014",,,,,Series D,GitHub_funding,,,,,,,,,,,,,,
"Coraid combines scale-out performance, Ethernet simplicity, and an elastic storage architecture to deliver simplicity at scale.",Web Hosting,Coraid,,,,,,"$10,000,000","Dec  1, 2009","$25,000,000","Nov 15, 2010","$50,000,000","Nov  3, 2011",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Mobile,Cafemom,,,,,,"$5,000,000","Aug 22, 2007","$12,000,000","Mar 19, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Hail, track, and pay for cab rides with your smartphone. And when you do, get an experienced driver who knows the way, tip what you want, and never pay more during times of high demand. Flywheel adds entire fleets at once, using cars already on the road to meet demand at any time of day or night. By working with existing cab fleets, Flywheel can scale supply quickly and predictably while avoiding long, expensive regulatory battles and the pains of inexperienced professional drivers.",Cloud Data Services,Flywheel-Software,,,"The taxi app. Hail, track and pay. All by phone.",,,"$8,000,000","Jun 30, 2012","$14,800,000","Jul 31, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"viagogo is the world’s largest marketplace for tickets to live events. Our goal is to bring the widest selection of concert, sport, theatre, and festival tickets to every fan’s fingertips. With millions of happy customers from over one hundred different countries, we’re well on our way. We’ve made this possible by providing a safe and secure platform for fans to buy and sell tickets to live events anywhere in the world. It’s no wonder that hundreds of leading sports and entertainment brands have partnered with viagogo, including Michael Jackson, Madonna, Manchester United, Chelsea FC, and Tomorrowland.",Biotechnology,viagogo,,,,Unknown,"Oct  1, 2005",,,"$20,000,000","Aug  1, 2006","$30,000,000","Aug  1, 2007","$15,000,000","Feb  5, 2009",Series B,GitHub_funding,,,,,,,,,,,,,,
,Testing,Verastem,"$2,000,000","Jul 19, 2012",,,,"$16,000,000","Nov 16, 2010","$32,000,000","Jul 14, 2011","$20,000,000","Nov 11, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,BCR-Environmental,,,,,,"$10,000,000","Oct 14, 2011","$6,000,000","Oct 24, 2013",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
We provide amateur athletes with professional photographs  — for FREE.Get your Gameface on!,Social Media Marketing,Gameface-Media,,,,,,,,"$2,500,000","Aug  7, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
Lendio makes finding small business loans simple by matching people looking for business loans with lenders who provide business and commercial loans.,Gamification,Lendio,,,,"$2,000,000","Jun  2, 2011","$6,000,000","Feb 17, 2011","$4,500,000","Aug 28, 2013",,,,,,GitHub_funding,,,,,,,,,,,,,,
"As Enterprise IT organizations advance their BYOD and Enterprise Mobility programs, they are under enormous pressure to mobilize employee-facing applications.  With mobile development resources scarce and expensive, replacing all existing applications with new mobile-optimized versions is impractical for most organizations.Reddo Mobility is the first and only vendor to provide a solution for delivering a true mobile user experience for existing Windows Desktop apps without additional development.  With its patented technology stack, Reddo Mobility extends desktop or application virtualization solutions with the capability of delivering a true mobile user… · More experience on any device.  For more information, visit reddomobility.com.",Virtualization,Reddo-Mobility,,,Rapid mobilization of existing windows desktop applications,,,"$3,000,000","Jun 30, 2011","$7,500,000","Apr 24, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Fast, free, thorough home search on America's most popular web portal, covering real estate, apartments, mortgages, school data, and home improvement ideas.",,Zillow,"$4,099,999","Dec 12, 2012",,,,"$32,000,000","Oct  1, 2005","$25,000,000","Jul  1, 2006","$30,000,000","Sep  1, 2007",,,,GitHub_funding,,,,,,,,,,,,,,
,Hospitality,HyperActive-Technologies,"$500,300","Feb 14, 2012",,,,,,"$6,500,000","May 27, 2006",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,BUKA,,,,,,Unknown,"Dec 28, 2004",Unknown,"Aug 28, 2005",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Sequoia-Communications,"$1,000,000","Apr 14, 2009",,,,,,,,"$15,000,000","Jun  2, 2009",,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Transera offers unique, cloud-based software solutions for distributed contact centers including customer analytics, call routing and more",Software,Transera-Communications,,,,,,,,,,"$10,000,000","Nov  1, 2006","$17,000,000","Mar 12, 2009",Series C,GitHub_funding,,,,,,,,,,,,,,
,Advertising,AdScale,,,,Unknown,"Jan 17, 2008",,,"$6,150,000","Jun  1, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,LogRhythm,"$40,000,000","Jul 22, 2014",,,,"$3,250,000","Nov  7, 2008","$3,100,000","Apr  1, 2009","$10,000,000","Mar 30, 2011","$15,000,000","Jun 28, 2012",,GitHub_funding,,,,,,,,,,,,,,
,Health Care,AlloCure,"$1,500,000","Oct 13, 2011",,,,,,"$25,000,000","Apr  2, 2012",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Open Road Integrated Media is a content marketing company that places the e-book in the center of a multi-platform universe, which includes film, video and other forms of digital entertainment.",Software,Open-Road-Integrated-Media,,,,,,,,"$8,000,000","May 23, 2011","$11,000,000","Aug 19, 2013",,,-,GitHub_funding,,,,,,,,,,,,,,
,Health and Wellness,NeuroVista,"$16,500,000","Aug 18, 2010",,,,,,"$33,800,000","May 11, 2007",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,Brightpearl,,,,"$1,500,000","Jun 24, 2010","$5,000,000","May 25, 2011","$8,000,000","May 21, 2013","$10,000,000","Apr 28, 2014",,,,GitHub_funding,,,,,,,,,,,,,,
,-,Vitrue,,,,"$2,200,000","May  1, 2006","$3,800,000","Oct 24, 2006","$10,000,000","Oct  1, 2007","$17,000,000","Feb 17, 2011",,,,GitHub_funding,,,,,,,,,,,,,,
,Reviews and Recommendations,neohapsis,"$9,000,000","Jan 22, 2007",,,,"$16,500,000","Oct 15, 2010","$4,500,000","Oct 26, 2010","$4,900,000","Jun 28, 2013",,,,GitHub_funding,,,,,,,,,,,,,,
,Software,Ecrio,,,,,,,,"$3,000,000","Aug  2, 2005","$24,000,000","Sep 19, 2007",,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Crowdfunding,Onlive,"$40,000,000","Feb  8, 2011",,,,,,"$16,500,000","Oct  1, 2007",Unknown,"Sep 30, 2009",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Networking,Vocalocity,"$3,500,000","Jun 23, 2010",,,,"$8,000,000","Oct 18, 2007","$4,099,999","Jan 28, 2009","$9,500,000","Aug 29, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Mercator-MedSystems,,,,,,,,"$6,500,000","May 30, 2013",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Biotechnology,Pronutria,,,,,,"$10,800,000","Oct 22, 2013","$12,300,000","Feb 14, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Energy Efficiency,Dataguise,,,,,,"$3,250,000","Mar 22, 2011","$13,000,000","Sep 29, 2013",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,-,Movik-Networks,"$3,000,000","Dec 29, 2010",,,,"$7,500,000","Feb  1, 2008","$8,500,000","Nov 24, 2009","$25,000,000","Mar 31, 2011",,,-,GitHub_funding,,,,,,,,,,,,,,
,Hardware + Software,Virtugo-Software,"$4,000,000","Jun 27, 2007",,,,,,"$13,600,000","Jul 17, 2006",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"Sendio allows organizations to create their own unique self-managing email ""communities"" automatically, which leads to the best in email security and productivity.",Security,Sendio,,,,,,"$4,000,000","Feb 12, 2007","$3,000,000","Feb  9, 2009",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Real-time and predictive vehicle traffic.,Software,ITIS-Holdings,,,,,,"$5,700,000","Sep  2, 1999","$2,700,000","Dec  3, 2004","$2,500,000","Aug 16, 2007",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,E-Commerce,Servergy,"$5,600,000","Jun 10, 2012",,,,,,,,"$20,000,000","Nov 11, 2013",,,-,GitHub_funding,,,,,,,,,,,,,,
,Educational Games,Qliance-Medical-Management,"$5,500,000","Oct 15, 2013",,,,,,"$6,000,000","Apr 28, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,-,eZ-Systems,"$5,000,000","Apr  3, 2007",,,,,,,,Unknown,"Jan  2, 2011",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,-,Greenext,,,,,,,,"$2,000,000","Jul 20, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,-,BlogTalkRadio,,,,,,"$4,600,000","Jun 25, 2008","$1,936,608","Mar 29, 2010",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Welcome to Zipcar. Zipcar is the world's largest car sharing and car club service. It is an alternative to traditional car rental and car ownership.,Big Data,Zipcar,"$21,000,000","Dec 15, 2010",,,,,,"$4,704,370","Dec 20, 2002",,,"$10,000,000","Jan  1, 2005",-,GitHub_funding,,,,,,,,,,,,,,
,Software,PlanSource-Holdings,,,,,,,,"$12,000,000","Jan  9, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Crowdsourcing,Tongal,,,,,,"$1,200,000","Jun  1, 2008","$15,000,000","Dec 26, 2012",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Clean Technology,Nevo-Energy,,,,,,,,"$4,099,999","Jul  7, 2010",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"The next-generation data processing & visualization system that overcomes Big Data issues of speed, access, and ease of use by providing:•Stream Processing: enables integration of multiple data sources into a single real-time stream•Visualization: transforms data into “data art,” including realtime, past and future, zoom-in/out, touch, pan, pause, rewind and FF•Access: allows users to securely save, share, and collaborate•Platforms Support: real-time visualizations on tablet, web, and TV",Construction,Zoomdata,,,"Real-time, mobile, tactile big data visualization and analysis","$1,500,000","Nov 21, 2012","$4,100,000","Jul 16, 2013","$17,000,000","Oct 14, 2014",,,,,-,GitHub_funding,,,,,,,,,,,,,,
,Virtualization,InMage-Systems,"$3,400,000","Feb 16, 2011",,,,,,"$10,000,000","Jul 10, 2007","$15,000,000","Sep 24, 2008","$7,500,000","Jul 22, 2013",Series A,GitHub_funding,,,,,,,,,,,,,,
,,Conviva,,,,,,"$9,000,000","Apr 10, 2007","$20,000,000","Aug 25, 2008","$15,000,000","Sep 15, 2010","$15,000,000","Feb  6, 2012",,GitHub_funding,,,,,,,,,,,,,,
Talari WAN solutions bring Internet economics to corporate WANs by aggregating and transforming broadband and other affordable Internet links to deliver business-class reliability and performance predictability at consumer prices.,Finance,Talari-Networks,"$7,500,000","Nov 26, 2013",,,,"$6,200,000","Jan 27, 2009","$10,000,000","Aug 10, 2010","$5,000,000","Jun 13, 2013","$15,000,000","Nov 18, 2013",Series C,GitHub_funding,,,,,,,,,,,,,,
,Men,Mediastay,,,,,,,,"$21,500,000","Apr  8, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Analytics,Ace-Metrix,"$1,700,000","Nov 23, 2009",,,,"$3,000,000","Aug  1, 2008","$6,000,000","Dec 16, 2009","$8,000,000","May 29, 2012",,,-,GitHub_funding,,,,,,,,,,,,,,
,Games,Zebra-Imaging,"$5,000,000","May  6, 2014",,,,,,,,"$5,900,000","Oct 24, 2006",,,-,GitHub_funding,,,,,,,,,,,,,,
Unlock the power of your APIs (owned by RedHat),,,,,,,,,,,,,,,,,GitHub_Bay-Area-Companies-List,3scale,"B2B Software and Services,Developer Tool",San Francisco,,https://www.3scale.net/,2007.0,"450 Townsend St #204, San Francisco, CA 94107",37.7746341,-122.3986416,1-12,,,,
8tracks is the best place to make and discover playlists,,,,,,,,,,,,,,,,,GitHub_Bay-Area-Companies-List,8tracks,"Music,Consumer Goods and Services",San Francisco,,https://8tracks.com/,2008.0,"51 Sharon St, San Francisco, CA 94114",37.7652268,-122.4297558,13-60,,,,
We help independent recruiters and agencies earn more in placement fees,,,,,,,,,,,,,,,,,GitHub_Bay-Area-Companies-List,10 by 10,"B2B Software and Services,Talent Acquisition",San Francisco,Y Combinator,https://www.10by10.io/,2015.0,"San Francisco, CA",37.7749295,-122.4194155,1-12,,,,
15Five software elevates the performance and engagement of employees by continuously asking questions and starting the right conversations.,,,,,,,,,,,,,,,,,GitHub_Bay-Area-Companies-List,15Five,Employee Engagement,San Francisco,,15five.com,2011.0,"12 Gallagher Ln, San Francisco, CA 94103",37.7817144,-122.403236,61-150,,,,
"Enterprise Asset Management: 21Tech has broad experience implementing, customizing and maintaining Infor EAM in the public sector.",,,,,,,,,,,,,,,,,GitHub_Bay-Area-Companies-List,21Tech,"Real Estate and Construction,Financial Technology and Services",East Bay,,21tech.com,1996.0,"1330 Broadway #1530, Oakland, CA 94612",37.8039001,-122.2707943,13-60,,,,
"Discover what 125+ personalized reports have to say about your ancestry, health, traits and more.",,,,,,,,,,,,,,,,,GitHub_Bay-Area-Companies-List,23andMe,"Healthcare,Consumer Goods and Services,Biotech",South Bay,,https://www.23andme.com/,2006.0,"899 W Evelyn Ave, Mountain View, CA 94041",37.3952084,-122.0791594,500-999,,,,
